,data,periodo,periodo_inicial,periodo_final,latitude,longitude
0,2018-11-04,De 17:56 a 18:26,17:56 ,18:26,-23.5366183,-46.6339921
1,2018-11-05,De 13:20 a 13:35,13:20 ,13:35,-23.5366183,-46.6339921
2,2018-11-05,De 17:02 a 19:11,17:02 ,19:11,-23.5396645,-46.6340752
3,2018-11-06,De 06:03 a 07:57,06:03 ,07:57,-23.5399147,-46.63072529999999
4,2018-11-06,De 08:25 a 08:33,08:25 ,08:33,-23.5351748,-46.6370989
5,2018-11-11,De 09:02 a 09:06,09:02 ,09:06,-23.4271371,-46.7243753
6,2018-11-11,De 16:42 a 16:48,16:42 ,16:48,-23.532489,-46.535937
7,2018-11-11,De 16:46 a 16:48,16:46 ,16:48,-23.5322419,-46.52894089999999
8,2018-11-14,De 11:17 a 11:38,11:17 ,11:38,-23.5690382,-46.4479418
9,2018-11-15,De 14:02 a 15:00,14:02 ,15:00,-23.573933,-46.736525
10,2018-11-18,De 23:27 a 23:30,23:27 ,23:30,-23.5974359,-46.6972704
11,2018-11-19,De 01:42 a 02:20,01:42 ,02:20,-23.5225187,-46.609986
12,2018-11-19,De 08:18 a 09:05,08:18 ,09:05,-23.5240623,-46.6321516
13,2018-11-19,De 21:06 a 03:13,21:06 ,03:13,-23.5405333,-46.6293921
14,2018-11-19,De 21:20 a 23:58,21:20 ,23:58,-23.5240623,-46.6321516
15,2018-11-19,De 10:38 a 12:43,10:38 ,12:43,-23.5722281,-46.7049299
16,2018-11-19,De 18:30 a 13:38,18:30 ,13:38,-23.5483716,-46.7331203
17,2018-11-19,De 06:17 a 17:46,06:17 ,17:46,-23.5456891,-46.7343506
18,2018-11-19,De 00:29 a 00:35,00:29 ,00:35,-23.5330347,-46.4511301
19,2018-11-19,De 00:58 a 01:20,00:58 ,01:20,-23.5325864,-46.4505512
20,2018-11-19,De 08:35 a 13:52,08:35 ,13:52,-23.5193621,-46.6251826
21,2018-11-20,De 11:40 a 14:58,11:40 ,14:58,-23.5628046,-46.67459239999999
22,2018-11-22,De 18:45 a 20:06,18:45 ,20:06,-23.4726383,-46.5714392
23,2018-11-23,De 18:23 a 19:05,18:23 ,19:05,-23.5488882,-46.6385329
24,2018-11-23,De 17:08 a 17:28,17:08 ,17:28,-23.5835626,-46.5751825
25,2018-11-23,De 17:20 a 17:34,17:20 ,17:34,-23.5830026,-46.5733797
26,2018-11-24,De 14:55 a 15:17,14:55 ,15:17,-23.5628168,-46.6743256
27,2018-11-25,De 20:56 a 01:04,20:56 ,01:04,-23.4271371,-46.7243753
28,2018-11-25,De 09:36 a 11:23,09:36 ,11:23,-23.5437928,-46.6327599
29,2018-11-25,De 11:46 a 14:04,11:46 ,14:04,-23.5470971,-46.63674109999999
30,2018-11-29,De 17:51 a 00:00,17:51 ,00:00,-23.5427039,-46.6268799
31,2018-11-29,De 18:16 a 18:26,18:16 ,18:26,-23.5351935,-46.581468
32,2018-11-29,De 18:36 a 19:31,18:36 ,19:31,-23.6065543,-46.5079701
33,2018-11-29,De 16:40 a 16:52,16:40 ,16:52,-23.6638686,-46.6785854
34,2018-11-30,De 21:58 a 23:58,21:58 ,23:58,-23.4726383,-46.5714392
35,2018-11-30,De 23:08 a 09:12,23:08 ,09:12,-23.5270355,-46.5947332
36,2018-11-30,De 23:24 a 23:57,23:24 ,23:57,-23.4726383,-46.5714392
37,2018-11-30,De 23:18 a 23:48,23:18 ,23:48,-23.5683345,-46.6074947
38,2018-11-30,De 22:37 a 23:40,22:37 ,23:40,-23.5197327,-46.6759048
39,2018-11-30,De 22:47 a 23:40,22:47 ,23:40,-23.5272478,-46.7402334
40,2018-11-30,De 23:25 a 09:13,23:25 ,09:13,-23.520175,-46.5553452
41,2018-11-30,De 23:27 a 09:14,23:27 ,09:14,-23.5199237,-46.6367004
42,2018-11-30,De 23:32 a 09:17,23:32 ,09:17,-23.5153037,-46.6667883
43,2018-11-30,De 23:30 a 06:17,23:30 ,06:17,-23.5550119,-46.5171162
44,2018-11-30,De 23:06 a 23:59,23:06 ,23:59,-23.513651,-46.5183461
45,2018-11-30,De 21:47 a 22:30,21:47 ,22:30,-23.5505232,-46.462323
46,2018-11-30,De 22:08 a 23:54,22:08 ,23:54,-23.5372436,-46.45792549999999
47,2018-11-30,De 22:20 a 02:43,22:20 ,02:43,-23.495693,-46.4060119
48,2018-11-30,De 21:34 a 21:47,21:34 ,21:47,-23.5179509,-46.64946399999999
49,2018-11-30,De 23:13 a 05:35,23:13 ,05:35,-23.5604515,-46.566093
50,2018-11-30,De 23:43 a 00:15,23:43 ,00:15,-23.5825769,-46.5659963
51,2018-11-30,De 23:43 a 16:57,23:43 ,16:57,-23.5825769,-46.5659963
52,2018-11-30,De 22:56 a 23:48,22:56 ,23:48,-23.7411976,-46.7058186
53,2018-11-30,De 22:48 a 23:38,22:48 ,23:38,-23.620556,-46.6277791
54,2018-11-30,De 23:11 a 23:37,23:11 ,23:37,-23.6253758,-46.6287942
55,2018-12-01,De 00:59 a 09:20,00:59 ,09:20,-23.5153037,-46.6667883
56,2018-12-01,De 01:58 a 09:39,01:58 ,09:39,-23.5127308,-46.65376850000001
57,2018-12-01,De 03:39 a 09:42,03:39 ,09:42,-23.5189326,-46.6547652
58,2018-12-01,De 05:45 a 12:54,05:45 ,12:54,-23.5137188,-46.6504947
59,2018-12-01,De 00:19 a 02:12,00:19 ,02:12,-23.4726383,-46.5714392
60,2018-12-01,De 00:19 a 00:44,00:19 ,00:44,-23.4726383,-46.5714392
61,2018-12-01,De 02:18 a 09:41,02:18 ,09:41,-23.5233965,-46.6129802
62,2018-12-01,De 05:25 a 09:40,05:25 ,09:40,-23.5179509,-46.64946399999999
63,2018-12-01,De 08:44 a 14:43,08:44 ,14:43,-23.4271371,-46.7243753
64,2018-12-01,De 12:57 a 14:44,12:57 ,14:44,-23.5255433,-46.6535881
65,2018-12-01,De 00:16 a 15:42,00:16 ,15:42,-23.5179509,-46.64946399999999
66,2018-12-01,De 02:15 a 09:43,02:15 ,09:43,-23.5115762,-46.6249014
67,2018-12-01,De 03:24 a 03:57,03:24 ,03:57,-23.5179509,-46.64946399999999
68,2018-12-01,De 05:28 a 09:41,05:28 ,09:41,-23.5115762,-46.6249014
69,2018-12-01,De 05:48 a 07:05,05:48 ,07:05,-23.5151388,-46.6412765
70,2018-12-01,De 00:40 a 15:42,00:40 ,15:42,-23.5179509,-46.64946399999999
71,2018-12-01,De 02:16 a 09:40,02:16 ,09:40,-23.5189326,-46.6547652
72,2018-12-01,De 03:01 a 03:39,03:01 ,03:39,-23.5344059,-46.7500829
73,2018-12-01,De 04:30 a 09:19,04:30 ,09:19,-23.5198356,-46.6568362
74,2018-12-01,De 05:49 a 08:51,05:49 ,08:51,-23.6238787,-46.7099683
75,2018-12-01,De 11:28 a 11:00,11:28 ,11:00,-23.5179509,-46.64946399999999
76,2018-12-01,De 11:28 a 11:00,11:28 ,11:00,-23.5179509,-46.64946399999999
77,2018-12-01,De 01:49 a 09:12,01:49 ,09:12,-23.5189326,-46.6547652
78,2018-12-01,De 02:11 a 09:39,02:11 ,09:39,-23.5146598,-46.7246391
79,2018-12-01,De 02:24 a 09:43,02:24 ,09:43,-23.512302,-46.7267119
80,2018-12-01,De 03:12 a 08:58,03:12 ,08:58,-23.5360182,-46.74658720000001
81,2018-12-01,De 03:22 a 03:33,03:22 ,03:33,-23.5151408,-46.68499449999999
82,2018-12-01,De 03:33 a 03:40,03:33 ,03:40,-23.5145184,-46.7003126
83,2018-12-01,De 03:57 a 09:12,03:57 ,09:12,-23.5133866,-46.7033226
84,2018-12-01,De 04:17 a 14:43,04:17 ,14:43,-23.5154193,-46.696145
85,2018-12-01,De 07:13 a 09:32,07:13 ,09:32,-23.5272478,-46.7402334
86,2018-12-01,De 07:45 a 09:31,07:45 ,09:31,-23.5292152,-46.7426048
87,2018-12-01,De 08:33 a 11:56,08:33 ,11:56,-23.5306517,-46.74489920000001
88,2018-12-01,De 02:04 a 09:39,02:04 ,09:39,-23.5881265,-46.6905352
89,2018-12-01,De 02:08 a 08:25,02:08 ,08:25,-23.6077583,-46.6973162
90,2018-12-01,De 03:19 a 08:23,03:19 ,08:23,-23.5870513,-46.6896484
91,2018-12-01,De 04:15 a 12:37,04:15 ,12:37,-23.6065062,-46.6969314
92,2018-12-01,De 03:45 a 09:42,03:45 ,09:42,-23.5179509,-46.64946399999999
93,2018-12-01,De 03:57 a 09:43,03:57 ,09:43,-23.5282312,-46.5850775
94,2018-12-01,De 09:43 a 11:04,09:43 ,11:04,-23.5325864,-46.4505512
95,2018-12-01,De 01:51 a 16:57,01:51 ,16:57,-23.5254518,-46.5564904
96,2018-12-02,De 07:51 a 08:40,07:51 ,08:40,-23.4868347,-46.6818386
97,2018-12-02,De 15:54 a 19:42,15:54 ,19:42,-23.5630945,-46.6739812
98,2018-12-04,De 18:06 a 20:54,18:06 ,20:54,-23.5690382,-46.4479418
99,2018-12-13,De 16:39 a 17:14,16:39 ,17:14,-23.5504292,-46.6381386
100,2018-12-13,De 17:00 a 17:52,17:00 ,17:52,-23.5427039,-46.6268799
101,2018-12-13,De 17:04 a 17:52,17:04 ,17:52,-23.5404284,-46.6295011
102,2018-12-13,De 16:25 a 17:08,16:25 ,17:08,-23.5362269,-46.5522662
103,2018-12-13,De 16:28 a 17:09,16:28 ,17:09,-23.5360498,-46.5514434
104,2018-12-13,De 16:36 a 16:48,16:36 ,16:48,-23.5479302,-46.6027783
105,2018-12-13,De 16:42 a 16:54,16:42 ,16:54,-23.5479302,-46.6027783
106,2018-12-13,De 18:02 a 19:00,18:02 ,19:00,-23.5713971,-46.598292
107,2018-12-13,De 17:00 a 19:22,17:00 ,19:22,-23.4999189,-46.5244016
108,2018-12-13,De 15:48 a 17:00,15:48 ,17:00,-23.5773899,-46.593206
109,2018-12-13,De 16:28 a 17:20,16:28 ,17:20,-23.580845,-46.585489
110,2018-12-13,De 18:06 a 19:19,18:06 ,19:19,-23.6658875,-46.7130319
111,2018-12-13,De 18:06 a 19:18,18:06 ,19:18,-23.6656924,-46.7124181
112,2018-12-13,De 15:22 a 17:52,15:22 ,17:52,-23.6435241,-46.7339741
113,2018-12-13,De 18:06 a 18:13,18:06 ,18:13,-23.6699141,-46.7326894
114,2018-12-13,De 15:26 a 15:51,15:26 ,15:51,-23.6260211,-46.6886941
115,2018-12-13,De 15:31 a 16:05,15:31 ,16:05,-23.6522565,-46.7228707
116,2018-12-13,De 15:48 a 16:58,15:48 ,16:58,-23.6224124,-46.6282342
117,2018-12-16,De 19:40 a 21:39,19:40 ,21:39,-23.5179509,-46.64946399999999
118,2018-12-18,De 23:48 a 04:21,23:48 ,04:21,-23.4032551,-46.7313454
119,2018-12-18,De 06:49 a 06:55,06:49 ,06:55,-23.538154,-46.450408
120,2018-12-18,De 08:20 a 13:26,08:20 ,13:26,-23.5325864,-46.4505512
121,2018-12-18,De 13:20 a 13:51,13:20 ,13:51,-23.5351935,-46.581468
122,2018-12-19,De 02:31 a 05:50,02:31 ,05:50,-23.404361,-46.7529665
123,2018-12-19,De 02:40 a 08:09,02:40 ,08:09,-23.4068591,-46.75017159999999
124,2018-12-19,De 17:37 a 17:59,17:37 ,17:59,-23.5492156,-46.6407569
125,2018-12-19,De 17:58 a 18:00,17:58 ,18:00,-23.5404117,-46.62906599999999
126,2018-12-19,De 17:58 a 18:19,17:58 ,18:19,-23.5400716,-46.6305941
127,2018-12-19,De 18:28 a 19:07,18:28 ,19:07,-23.530037,-46.647568
128,2018-12-19,De 19:41 a 20:08,19:41 ,20:08,-23.5427039,-46.6268799
129,2018-12-19,De 08:33 a 08:46,08:33 ,08:46,-23.5725782,-46.7045018
130,2018-12-19,De 17:12 a 18:06,17:12 ,18:06,-23.53525,-46.5826757
131,2018-12-19,De 17:16 a 17:49,17:16 ,17:49,-23.5366178,-46.5889416
132,2018-12-19,De 17:18 a 18:05,17:18 ,18:05,-23.5380499,-46.5989774
